s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 7.2014099E+001, 2.1650482E+001,-8.0836268E+000,-2.4025570E-003,-1.2027128E+001,-2.4118078E-003, 6.8969595E-001, 0.0000000E+000, 2.2320564E+000, 2.2246092E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.4981353E+004
 7.3337090E+001, 2.1758128E+001,-8.1711344E+000,-2.4190507E-003,-1.2162859E+001,-2.3960505E-003, 6.2144781E-001, 0.0000000E+000, 2.0324276E+000, 2.0407669E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.5068723E+004
 7.4669579E+001, 2.1683923E+001,-8.1798330E+000,-2.4180465E-003,-1.1892276E+001,-2.3962240E-003, 7.1612991E-001, 0.0000000E+000, 2.3269760E+000, 2.3231299E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.5170503E+004
 7.6005180E+001, 2.1749015E+001,-8.2568741E+000,-2.4014103E-003,-1.2188165E+001,-2.4133322E-003, 5.8766312E-001, 0.0000000E+000, 1.8867100E+000, 1.8868247E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.5254121E+004
 7.7339027E+001, 2.1694643E+001,-8.3034932E+000,-2.4118267E-003,-1.2256765E+001,-2.4030506E-003, 5.1954182E-001, 0.0000000E+000, 1.6479294E+000, 1.6491113E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.5328024E+004
 7.8678635E+001, 2.1665610E+001,-8.3020676E+000,-2.4037909E-003,-1.2002220E+001,-2.4109500E-003, 6.1419107E-001, 0.0000000E+000, 1.9638750E+000, 1.9706988E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.5415584E+004
 8.0010414E+001, 2.1834448E+001,-8.4135533E+000,-2.4045985E-003,-1.1767232E+001,-2.4106217E-003, 7.1266479E-001, 0.0000000E+000, 2.3602653E+000, 2.3615127E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.5516718E+004
 8.1335754E+001, 2.1580932E+001,-8.3828207E+000,-2.4077238E-003,-1.1883754E+001,-2.4057459E-003, 6.0815207E-001, 0.0000000E+000, 1.9204191E+000, 1.9176955E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.5602756E+004
 8.2671707E+001, 2.1707385E+001,-8.4926840E+000,-2.4241496E-003,-1.1866738E+001,-2.3910750E-003, 5.9030252E-001, 0.0000000E+000, 1.9310052E+000, 1.9334507E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.5686714E+004
 8.4002525E+001, 2.1728544E+001,-8.5309572E+000,-2.4282742E-003,-1.1910369E+001,-2.3860395E-003, 5.9069863E-001, 0.0000000E+000, 1.8788756E+000, 1.8731022E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.5770576E+004
